20,Front-Wheel Drive,-1,Regular,0,Saab,0.0,0,Subcompact Cars,1997,
20,Front-Wheel Drive,1800,Regular Gasoline,Saab,900 Convertible,Automatic 4-spd,Subcompact Cars,1997,-2250,
21,Front-Wheel Drive,1700,Regular Gasoline,Saab,900 Convertible,Manual 5-spd,Subcompact Cars,1997,-1750,
19,Front-Wheel Drive,1900,Regular Gasoline,Saab,900 Convertible,Automatic 4-spd,Subcompact Cars,1997,-2750,
25,Front-Wheel Drive,1450,Regular Gasoline,Saturn,SC,Automatic 4-spd,Subcompact Cars,1997,-500,
27,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SC,Automatic 4-spd,Subcompact Cars,1997,250,
27,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SC,Manual 5-spd,Subcompact Cars,1997,250,
28,Front-Wheel Drive,1300,Regular Gasoline,Saturn,SC,Manual 5-spd,Subcompact Cars,1997,250,
22,Front-Wheel Drive,1600,Regular Gasoline,Honda,Accord,Automatic 4-spd,Subcompact Cars,1985,-1250,
19,Rear-Wheel Drive,1900,Regular Gasoline,Chevrolet,Monte Carlo,Automatic 4-spd,Midsize Cars,1985,-2750,
24,4-Wheel or All-Wheel Drive,1500,Regular Gasoline,Subaru,Impreza AWD,Manual 5-spd,Subcompact Cars,1997,-750,
23,4-Wheel or All-Wheel Drive,1550,Regular Gasoline,Subaru,Impreza AWD,Automatic 4-spd,Subcompact Cars,1997,-1000,
23,4-Wheel or All-Wheel Drive,1550,Regular Gasoline,Subaru,Impreza AWD,Manual 5-spd,Subcompact Cars,1997,-1000,
18,4-Wheel or All-Wheel Drive,2400,Premium Gasoline,Subaru,SVX AWD,Automatic 4-spd,Subcompact Cars,1997,-5250,
26,Front-Wheel Drive,1350,Regular Gasoline,Suzuki,Esteem,Automatic 4-spd,Subcompact Cars,1997,0,
29,Front-Wheel Drive,1250,Regular Gasoline,Suzuki,Esteem,Manual 5-spd,Subcompact Cars,1997,500,
28,Front-Wheel Drive,1300,Regular Gasoline,Suzuki,Swift,Automatic 3-spd,Subcompact Cars,1997,250,
35,Front-Wheel Drive,1000,Regular Gasoline,Suzuki,Swift,Manual 5-spd,Subcompact Cars,1997,1750,
26,Front-Wheel Drive,1350,Regular Gasoline,Toyota,Celica,Automatic 4-spd,Subcompact Cars,1997,0,
28,Front-Wheel Drive,1300,Regular Gasoline,Toyota,Celica,Manual 5-spd,Subcompact Cars,1997,250,
16,Rear-Wheel Drive,2250,Regular Gasoline,Chevrolet,Monte Carlo,Automatic 3-spd,Midsize Cars,1985,-4500,
22,Front-Wheel Drive,1600,Regular Gasoline,Toyota,Celica,Automatic 4-spd,Subcompact Cars,1997,-1250,
22,Front-Wheel Drive,1600,Regular Gasoline,Toyota,Celica,Manual 5-spd,Subcompact Cars,1997,-1250,
24,Front-Wheel Drive,1500,Regular Gasoline,Toyota,Corolla,Automatic 3-spd,Subcompact Cars,1997,-750,
29,Front-Wheel Drive,1250,Regular Gasoline,Toyota,Corolla,Manual 5-spd,Subcompact Cars,1997,500,
26,Front-Wheel Drive,1350,Regular Gasoline,Toyota,Corolla,Automatic 4-spd,Subcompact Cars,1997,0,
28,Front-Wheel Drive,1300,Regular Gasoline,Toyota,Corolla,Manual 5-spd,Subcompact Cars,1997,250,
27,Front-Wheel Drive,1300,Regular Gasoline,Toyota,Tercel,Automatic 3-spd,Subcompact Cars,1997,250,
29,Front-Wheel Drive,1250,Regular Gasoline,Toyota,Tercel,Automatic 4-spd,Subcompact Cars,1997,500,
31,Front-Wheel Drive,1150,Regular Gasoline,Toyota,Tercel,Manual 5-spd,Subcompact Cars,1997,1000,
22,Front-Wheel Drive,1600,Regular Gasoline,Volkswagen,Cabrio,Automatic 4-spd,Subcompact Cars,1997,-1250,
17,Rear-Wheel Drive,2100,Regular Gasoline,Chevrolet,Monte Carlo,Automatic 4-spd,Midsize Cars,1985,-3750,
24,Front-Wheel Drive,1500,Regular Gasoline,Volkswagen,Cabrio,Manual 5-spd,Subcompact Cars,1997,-750,
20,Front-Wheel Drive,2150,Premium Gasoline,Acura,2.5TL/3.2TL,Automatic 4-spd,Compact Cars,1997,-4000,
19,Front-Wheel Drive,2250,Premium Gasoline,Acura,2.5TL/3.2TL,Automatic 4-spd,Compact Cars,1997,-4500,
21,Front-Wheel Drive,-1,Premium,14,Audi,0.0,0,Compact Cars,1997,
19,Front-Wheel Drive,2250,Premium Gasoline,Audi,A4,Automatic 5-spd,Compact Cars,1997,-4500,
20,Front-Wheel Drive,2150,Premium Gasoline,Audi,A4,Manual 5-spd,Compact Cars,1997,-4000,
21,4-Wheel or All-Wheel Drive,-1,Premium,14,Audi,0.0,0,Compact Cars,1997,
19,4-Wheel or All-Wheel Drive,2250,Premium Gasoline,Audi,A4 quattro,Automatic 5-spd,Compact Cars,1997,-4500,
19,4-Wheel or All-Wheel Drive,2250,Premium Gasoline,Audi,A4 quattro,Manual 5-spd,Compact Cars,1997,-4500,
19,Front-Wheel Drive,2250,Premium Gasoline,Audi,A6,Automatic 4-spd,Compact Cars,1997,-4500,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,LeBaron,Automatic 3-spd,Midsize Cars,1985,-1750,
19,4-Wheel or All-Wheel Drive,2250,Premium Gasoline,Audi,A6 quattro,Automatic 4-spd,Compact Cars,1997,-4500,
23,Rear-Wheel Drive,1900,Premium Gasoline,BMW,318ti,Automatic 4-spd,Compact Cars,1997,-2750,
23,Rear-Wheel Drive,1900,Premium Gasoline,BMW,318ti,Manual 5-spd,Compact Cars,1997,-2750,
19,Rear-Wheel Drive,2250,Premium Gasoline,BMW,528i,Automatic 4-spd,Compact Cars,1997,-4500,
21,Rear-Wheel Drive,2050,Premium Gasoline,BMW,528i,Manual 5-spd,Compact Cars,1997,-3500,
18,Rear-Wheel Drive,2400,Premium Gasoline,BMW,540i,Automatic 5-spd,Compact Cars,1997,-5250,
16,Rear-Wheel Drive,2700,Premium Gasoline,BMW,540i,Manual 6-spd,Compact Cars,1997,-6750,
